source,has_success,has_summary,has_parquet,total_rows_read,total_rows_written,elapsed_seconds,clean_time_utc,total_rows,valid_position,valid_time,ground_points,valid_speed,valid_heading,valid_icao,quality_good,quality_warn,quality_bad,unique_icao,sparse_tracks
adsb_data_20251211_005302,True,True,True,4383638,4383638,44.8,2026-06-08T08:02:11.239516+00:00,4383638,4383629,4383638,235703,4383116,4377947,4383638,4377839,5367,432,1066,18
adsb_data_20251211_020645,True,True,True,4381671,4381671,40.06,2026-06-08T08:02:52.135313+00:00,4381671,4381664,4381671,159886,4381147,4372519,4381671,4372438,8776,457,934,16
adsb_data_20251211_032430,True,True,True,4384465,4384465,69.75,2026-06-08T08:01:18.313637+00:00,4384465,4384440,4384465,131657,4380947,4371969,4384465,4371862,9142,3461,961,12
adsb_data_20251211_044137,True,True,True,4383543,4383543,70.3,2026-06-08T08:02:29.405362+00:00,4383543,4383536,4383543,149837,4379112,4375698,4383543,4375562,3672,4309,923,15
adsb_data_20251211_060250,True,True,True,4398064,4398064,64.08,2026-06-08T08:03:57.171768+00:00,4398064,4398056,4398064,369706,4396230,4393061,4398064,4392832,3611,1621,1464,39
adsb_data_20251211_071829,True,True,True,4393158,4393158,70.61,2026-06-08T08:05:08.649042+00:00,4393158,4393151,4393158,313573,4392285,4390996,4393158,4390752,1763,643,1852,38
adsb_data_20251211_075506,True,True,True,4391774,4391774,74.08,2026-06-08T08:06:23.548300+00:00,4391774,4391760,4391774,300426,4391076,4389801,4391774,4389702,1445,627,2367,38
adsb_data_20251211_082930,True,True,True,4384460,4384460,73.81,2026-06-08T08:07:38.185522+00:00,4384460,4384448,4384460,255965,4383875,4381122,4384460,4381027,2925,508,2807,37
adsb_data_20251211_090506,True,True,True,4386198,4386198,72.65,2026-06-08T08:08:51.629700+00:00,4386198,4386176,4386198,285975,4383775,4381789,4386198,4381661,2206,2331,3036,48
adsb_data_20251211_094200,True,True,True,4386079,4386079,77.1,2026-06-08T08:10:09.682790+00:00,4386079,4386042,4386079,309072,4384566,4382458,4386079,4382005,2940,1134,3056,53
adsb_data_20251211_101806,True,True,True,4384065,4384065,75.16,2026-06-08T08:11:25.691258+00:00,4384065,4383833,4384065,296164,4382164,4381325,4384065,4381016,1017,2032,3121,56
adsb_data_20251211_105730,True,True,True,4384034,4384034,103.59,2026-06-08T08:13:10.466696+00:00,4384034,4383932,4384034,300039,4382288,4381462,4384034,4381199,1210,1625,3069,46
adsb_data_20251211_113259,True,True,True,4385329,4385329,73.79,2026-06-08T08:14:25.082159+00:00,4385329,4384999,4385329,308605,4384034,4383629,4385329,4382989,1025,1315,3107,42
adsb_data_20251211_120928,True,True,True,4379794,4379794,74.3,2026-06-08T08:15:40.202034+00:00,4379794,4379613,4379794,267347,4377886,4376273,4379794,4375957,1893,1944,3083,41
adsb_data_20251211_124417,True,True,True,4385795,4385795,81.82,2026-06-08T08:17:03.036784+00:00,4385795,4385048,4385795,276695,4384770,4383421,4385795,4382570,1557,1668,3147,42
adsb_data_20251211_132014,True,True,True,4380750,4380750,80.46,2026-06-08T08:18:24.403811+00:00,4380750,4380676,4380750,238154,4379315,4378841,4380750,4378748,516,1486,3209,57
adsb_data_20251211_135539,True,True,True,4383753,4383753,92.23,2026-06-08T08:20:01.937244+00:00,4383753,4383661,4383753,261115,4381416,4380172,4383753,4379964,1524,2265,3245,48
adsb_data_20251211_143050,True,True,True,4383152,4383152,75.91,2026-06-08T08:21:18.816008+00:00,4383152,4383130,4383152,276743,4381177,4380028,4383152,4379305,2551,1296,3224,44
adsb_data_20251211_150742,True,True,True,4383088,4383088,77.53,2026-06-08T08:22:37.144359+00:00,4383088,4383075,4383088,285193,4382149,4380379,4383088,4380273,1956,859,3114,52
adsb_data_20251211_154337,True,True,True,4383471,4383471,83.39,2026-06-08T08:24:01.624517+00:00,4383471,4383451,4383471,284075,4383123,4381541,4383471,4381433,1758,280,3100,46
adsb_data_20251211_161940,True,True,True,4384538,4384538,98.8,2026-06-08T08:25:46.360979+00:00,4384538,4384527,4384538,280566,4383860,4381429,4384538,4381318,2631,589,3073,46
adsb_data_20251211_165501,True,True,True,4383382,4383382,75.81,2026-06-08T08:27:03.004943+00:00,4383382,4383373,4383382,271751,4382230,4380061,4383382,4379969,2335,1078,3116,36
adsb_data_20251211_173111,True,True,True,4383388,4383388,74.85,2026-06-08T08:28:18.668986+00:00,4383388,4383304,4383388,291542,4382546,4379914,4383388,4379686,2920,782,3066,47
adsb_data_20251211_180650,True,True,True,4381158,4381158,74.96,2026-06-08T08:29:34.449769+00:00,4381158,4381143,4381158,269812,4379857,4378409,4381158,4378299,1638,1221,2938,31
